lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
1270131,DonSergej 2504,296311,:AO:,25,149,77456018,24071,41138952,League of Order,2227025,80127331,24432435,29459655,18680998,4882930,1623279,163058132,57,16937,76023,6,4287673084,4075811005,3154451683,1890620522,94767,1055441386,212,121701,7710073380,7549419268,5743923901,3795727607,-,6757743,30446644,2840188,318239,615762
3826983,RAGY,-,-,25,149,77408232,149,25337537,League of Order,-,77418942,21575959,29059155,18680998,7964120,1275133,87265005,29,7132,38001,322,2011194561,1937119520,1378443188,667730370,-,31680241,7,68700,5073713688,5393396510,3636767492,2322992876,-,5369173,18478971,617730,263936,575691
9704623,류마,189012,-NVD,25,218,77383527,24071,98447832,Springwardens,415171,91758723,22836878,31732531,18680998,4133120,586308,66756144,292,14155,24512,178,15879622,50696923,66667799,93646115,125,294516217,76,28864,1379635199,1808780259,1313041684,923865046,-,22872602,55284721,7914375,3770057,7967644
11848624,ˢᶦᵍᵐᵃ AGNALDOJR,198884,14XS,25,191,77277538,24071,122330438,Wilderburg,1244648,84114421,26223186,25617374,18524608,6912370,652775,196042872,27,18099,81516,585,4571063443,3265173826,2113839698,903302166,91,-,-,63707,5911708604,4374432535,3763150853,2179188272,-,35678097,50802935,3096269,743227,32006129
12713439,Xér,298362,SVR,25,473,77266214,24071,312933405,League of Order,4311705,78097205,28480304,26081122,16783618,5914130,615566,306899736,88,17345,132867,382,4115304959,2972909277,2937850657,2615529820,83722,1352761560,347,150470,9377986301,8612952387,6691927925,4322373949,-,101784657,156145951,3806435,700771,50473070
1698371,LOKO,239363,ASC~,25,324,77263196,24071,249711832,Springwardens,3628156,101881416,23199631,31732531,15249474,7081560,1559089,331937999,45,33108,124989,585,2941638478,2830412343,2563490521,2354226046,1795,-,-,112070,6742407498,6977316814,6346969236,4736037716,-,90995586,146798654,1340497,458082,10059290
7020322,Bo0ooo,274856,FFA-,25,201,77261571,24071,151098580,League of Order,4872963,109741149,18876232,31732531,17548018,8848790,575531,182127040,28,19388,143187,117,3102191384,3602314727,2334394990,2542967451,66072,60000001,13,142576,6746092917,9913274713,6588029678,5066865616,-,44796357,95684630,4715739,736761,5158555
2123001,Pupidu,296311,:AO:,25,149,77170214,149,13429096,League of Order,151645,77170214,29916134,23159232,18110808,5984040,463935,62706246,21,4417,69402,46,4394096044,4694389077,3179893306,1722008550,3542,1594000000,323,71049,5326235335,5637045388,3811357278,1975204808,-,3811129,8907273,257619,105936,332290
15892283,ᴹʳCiccioPasticcio,306480,-I-,25,509,77116375,24071,103832722,Wilderburg,1709497,77116375,32533395,22256172,16783618,5543190,441383,239178291,6,13414,103065,89,1674129050,1393477422,1084073477,3547426597,47,60000140,17,101248,8324432997,5111346760,5307450654,2704810662,-,37081327,62886228,2031580,173519,1651826
1422571,Joachim,183482,FSK,25,36,77105585,24071,611434596,League of Order,12023865,105749976,19977946,31732531,17787858,7607250,4453919,420124382,239,40244,231724,1233,2902808175,3532757328,1980245415,4091212652,400,311644526,68,178575,9394859965,10900710832,6757513207,5383939412,-,280229013,280496161,2229875,1284795,46902961
7222263,Narkotyki,239363,ASC~,25,324,77103719,24071,440231569,League of Order,8741624,106656626,19308890,31732531,18482248,7452050,930476,399590614,30,44211,267868,606,2500143672,2722879326,1802080447,3753097648,387,1710000000,342,118774,8761451652,10849694887,7206955285,5525196324,-,147704929,254496220,2086780,567372,35327604
