lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
8527790,MegaNoob,276578,FR_X,25,403,110105446,403,211169621,League of Order,0,"110,105,446",51157407,31732531,18680998,8534510,748107,414199213,21,74119,163554,8,3261002833,4240501859,2559763058,1958103372,2324,904138715,184,117990,9064361260,10072575257,6463180961,4720648223,-,122287738,73621790,4111108,258653,10872354
8779876,x URANUS x,276578,FR_X,25,403,110034435,403,385828097,Wilderburg,0,"110,049,155",50803556,31732531,18680998,8689350,177385,454791489,67,58828,137826,784,3289093364,4930488341,2949537893,2379785812,4917,661366642,144,154856,7168687577,9680897747,5743838476,4217455672,-,143124019,177739994,2961170,1067573,60886339
1228676,ᵀᶦⁿʸ ツBtu,369276,-I-,25,509,109786415,509,413043056,League of Order,0,"109,786,415",49440371,31734406,18680998,9930640,5492676,560196024,631,158028,152914,812,1883445839,1809525027,1223995746,5195175629,521,1254084918,285,173398,16728658308,17285438683,11077055960,11170871400,-,173359645,180216173,7353118,2074887,49630480
5645760,WeeWeeDᴴᴮˣ,196212,ED',25,17,109725579,17,326301147,Wilderburg,0,"109,725,579",52703780,31732531,18680998,6608270,776039,276321214,77,29626,125622,315,2410285472,2850242766,2048646304,1937291578,150,50000000,10,115720,4896736149,6535781400,4771229146,3580240009,-,139850199,149101842,1593287,874686,34717540
14956024,ᴼˡʸᵐᵖᵘˢ Cronos,268674,MAD!,25,376,109658520,376,363765346,League of Order,0,"109,658,520",51315284,31732531,18680998,7929670,1741857,316380927,648,38902,131571,305,131751142,128907105,227537090,2419392438,1,6348066,9,69241,11166418745,13274899723,9563315149,6294241082,-,129923926,199862499,6621332,2911387,24330992
4363471,ᵒᵍd1ma,196212,ED',25,17,104262375,17,594055975,League of Order,0,"109,644,264",47913746,31732531,18347038,6269060,3897099,530503672,265,65314,303012,1291,1747896869,1997265834,1247748951,4753704943,3501,240732545,55,141921,12026944657,14523299849,11534384776,8725473640,-,344210669,199765253,3087227,3221196,43567454
5287632,Humungus,196212,ED',25,17,109531485,17,333973122,League of Order,0,"109,531,485",50363606,31732531,18680998,8754350,1963805,309770349,579,53372,116384,736,2404271328,2337547568,2224779670,2194214874,-,-,-,121144,5616845690,5739554478,3942739891,3132757267,-,136206904,146748512,7298482,4403688,38610095
5538337,zBenz TH 屮,251652,7Sin,25,344,109479870,344,178002487,League of Order,0,"109,479,870",52504011,31732531,18521998,6529330,1269194,349943304,51,45719,129004,124,3681059679,4872623213,3170604963,1992658471,4434,35000000,7,116151,8200227786,9058811088,6450733325,4820405293,-,88534748,65032688,633050,247773,23493067
1399561,ˣˡˡˡBuRN,306480,-I-,25,509,109434477,509,182490658,League of Order,0,"109,434,857",54198970,31732531,16926636,6576340,2452435,225414206,251,31903,73552,417,216513342,379433856,279013781,496910874,80,425097882,97,40373,5498240028,7129017815,5370233627,3972525637,-,88112633,77465215,2502510,1899354,12419681
4495884,gorandon,268674,MAD!,25,376,109337492,376,171781131,Wilderburg,0,"109,359,972",51325473,31732531,17685838,8554890,1846346,301855907,34,54045,118773,36,4222871212,4463126851,3201473382,3561113304,-,-,-,120868,9288114752,10096289716,6228158631,5346014180,-,76617506,85491571,1258826,738402,7601652
4827088,ᵗᵃˢᵗʸCharlott,196212,ED',25,17,109335119,17,384863316,League of Order,0,"109,338,119",52131190,31732531,18680998,6726400,2549778,375221735,113,54299,119527,469,488749027,1444176948,1161949458,1071376972,1660,181992552,136,75145,6434467419,8155061094,5356852926,4182331061,-,156723151,155011813,7397222,5164696,60383663
4735773,ᴰᵉᵃᵈˡʸNut,251652,7Sin,25,344,109283844,344,410721400,Wilderburg,0,"109,283,844",51653645,31732531,18347038,7550630,1243500,288182947,157,53690,103021,706,1112143810,1652035069,1239049980,1810881108,272,2061553646,445,48968,5635256284,6135053416,3748040544,3216054541,-,109894208,222122712,9286491,7283937,62060180
13067986,ᴱᵛᴳ XbonesX,295031,KO-E,25,458,108850152,458,439772221,Wilderburg,0,"108,850,152",52396623,31732531,18384178,6336820,3209324,307263528,985,39320,127245,316,726523860,153976060,157283526,811205946,21,170259166,35,113705,10098239370,6373307675,7406318365,4989254493,-,171011704,233104129,6309445,2798729,26371290
4090412,DrNooB,369276,-I-,25,509,106601109,509,511615757,League of Order,0,"108,814,595",50024950,31732531,18680998,6162630,3793709,390084998,110,107688,127919,512,296200021,1011768414,590996446,722196623,149,827703473,209,68947,6202922504,6401696779,3211859927,3620494330,-,203002393,181213507,13284349,7905942,106080265
12952972,Leхоя,369276,-I-,25,509,108791658,509,230667161,League of Order,0,"108,791,658",51629979,31732531,18442498,6986650,1021326,257188282,40,50006,158392,286,1495318969,1594029314,1222704549,3464109125,425,4140000,1,91508,7134492212,8294715942,5668199577,4365278118,-,117862933,81694081,6653389,2083264,22316634
14039263,EmperorWƦaiŦH,295031,KO-E,25,458,108698939,458,247169992,League of Order,0,"108,698,939",50049900,31732531,18482248,8434260,1685914,372156835,145,79295,91109,318,1131719554,909216986,760487702,3438376629,-,270908370,74,152045,11160323585,9978590738,7878602951,5358648854,-,104839131,116248326,3864519,3166433,18955162
4053956,Ray Ban,369276,-I-,25,509,108693516,509,1213733990,Wilderburg,0,"108,693,516",49206507,31732531,18503428,9251050,8614025,834716579,1518,155712,153834,3166,937448934,593919065,753912890,2021872466,948,1614313512,373,184552,32498267000,26167883524,22313881363,19433642552,-,428015777,699265317,16280609,6516032,62791097
15025624,Tesapeha,268674,MAD!,25,376,108385479,376,307352472,League of Order,0,"108,385,479",51719040,31732531,17124818,7809090,2296671,347326114,153,59163,102576,418,1058537778,1249596057,643847589,4306016748,2880,659437679,149,217954,13364252270,15160079141,8464110850,6992702143,-,86234113,194884230,6416073,1367311,18368929
4818787,ᴰᵉᵃᵈˡʸPop,251652,7Sin,25,344,108379781,344,260549301,League of Order,0,"108,379,781",51106923,31366440,18384178,7522240,822748,410357941,190,31254,124308,1291,3545097335,4044883936,2605867000,1641124812,13738,897857306,187,105973,6947092793,8295778143,4576048039,3313657459,-,50015939,78787635,4261878,1342796,126034044
13618829,ᴿᴾKat1,295031,KO-E,25,458,108378566,458,284858713,League of Order,0,"108,378,566",48756857,31732531,18680998,9208180,356300,240447092,22,12422,93630,121,860943071,947460507,633900508,1610371545,14545,950157561,195,99506,7553093338,8031690074,4804534805,2970470725,-,37315225,194573154,14393670,856190,37698295
